OTEXE;SEXEP;TRA05;CHAFF;UTATO;STREV
39;1;7;168307;1,39;121084
15;1;9;173850;1;173850
37;1;6;194094;2,31;84023
48;1;8;55660;1;55660
28;1;6;268176;3,38;79342
28;1;6;677888;8;84736
29;1;7;221821;2,13;104141
45;1;7;415314;3;138438
15;1;6;519478;2,63;197520
83;1;8;204855;3;68285
46;1;9;187361;2;93681
28;1;10;67233;1;67233
37;1;5;241581;1;241581
37;1;7;711423;6,18;115117
83;1;9;159381;1,5;106254
83;1;3;176439;1;176439
37;1;5;664966;4,13;161009
37;1;9;24654;0,25;98616
37;1;7;501665;6,26;80138
37;2;8;262140;2,31;113481
15;1;3;150554;2,56;58810
37;1;12;92206;1,1;83823
37;2;7;41843;1,11;37696
15;1;4;74915;1;74915
46;1;8;33509;1;33509
37;1;4;199883;2,96;67528
37;1;8;470391;4,04;116433
46;1;3;59857;1;59857
46;1;7;53406;1;53406
45;1;4;730684;5;146137
45;1;6;181439;1;181439
45;1;6;303299;2,76;109891
15;2;7;257503;1,38;186596
16;1;9;358878;2,11;170084
37;2;7;82046;1,13;72607
37;2;10;95069;1,11;85648
37;2;3;291940;2,59;112718
37;2;8;136332;2,28;59795
37;1;5;255897;1,86;137579
15;2;7;70571;2;35286
16;1;3;361802;5,64;64149
83;1;6;112168;2;56084
45;1;7;144602;2;72301
15;1;6;379131;2;189566
15;1;9;241922;2;120961
15;1;3;217446;1;217446
15;1;8;356961;1,51;236398
15;1;5;42158;1;42158
15;1;11;40391;1;40391
50;1;3;76986;1;76986
45;1;8;417226;3,66;113996
46;1;6;50109;1;50109
50;1;8;904637;2;452319
83;1;6;161236;2;80618
45;1;6;111082;1,59;69863
37;2;6;47671;2,02;23600
15;1;7;166764;1;166764
29;1;5;129500;2,04;63480
45;1;10;176234;1;176234
46;1;4;147375;2;73688
45;1;8;25927;1;25927
45;1;2;273392;3,08;88764
46;1;7;78387;1,23;63729
83;1;9;377393;4,07;92726
37;1;5;308592;5,64;54715
15;1;3;147071;1;147071
84;1;9;459658;3,04;151203
37;1;7;347371;3,99;87060
83;1;5;188641;2;94321
39;2;7;382958;9;42551
50;1;8;853993;2,1;406663
50;1;9;3055348;10;305535
29;2;8;195420;3,47;56317
28;1;4;577120;8;72140
37;1;4;197066;2,44;80765
37;1;9;151266;1,75;86438
39;1;4;127978;2,78;46035
50;1;6;802162;1;802162
73;1;8;122267;1;122267
73;1;9;302634;2;151317
45;1;8;181744;2;90872
15;1;5;98934;3;32978
50;1;8;509535;1,38;369228
16;1;7;445940;3,51;127048
15;1;9;97192;1;97192
48;1;9;208963;1;208963
50;2;9;239601;1;239601
50;1;4;396161;1,01;392239
50;2;7;376723;2;188361
50;1;8;274227;1,33;206186
50;2;6;411514;1;411514
